post_id,post_date,group,author,content
36,2015-02-17,20,timequake,I hate Seattle..
37,2019-11-25,9,amateur07,My first choice is a Toyota FJ Cruiser but this Honda Element is pretty impressive...
38,2016-03-12,18,rps_1899,but the macbook looks so awesome.
39,2018-08-26,NULL,rps_1899,"If I go and come back and decide Seattle sucks, I will not regret going."
40,2019-07-13,NULL,sudebala,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way."
41,2019-9-31,3,amateur07,"I like Tom Cruise, as I've stated over and over."
42,2018-10-12,19,nitsua49,and i like Paris Hilton.
43,2016-02-04,19,amateur07,i hate Honda Elements...
44,2019-01-13,NULL,hassan1365416,"besides, UCLA was a stupid dream..."
45,2018-06-01,16,fsv,"I miss my UCLA buds a lot, especially my BW friends."
46,2018-11-14,15,f1984b,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school."
47,2016-05-24,NULL,rps_1899,cause obviously toyota dealer is cheating on my feelings..
48,2017-10-09,10,hassan1365416,This superb View London Christmas gift basket is...
49,2016-12-28,20,sosobanane,"I still love the Lakers best, though!).."
50,2019-10-13,NULL,sosobanane,stupid kids and their need for Honda emblems):
51,2019-11-12,15,hassan1365416,"The difference is, Tom Cruise is so darn gorgeous even in his 40s."
52,2018-10-06,NULL,rps_1899,STupid Ucla and its stupid civil rights program.
53,2016-10-02,NULL,sosobanane,I aint gonna give you the chance stoopid
54,2019-03-31,3,rps_1899,All san Francisco has are shitty little old apts in this price range...
55,2018-11-15,1,amateur07,I LOVE SEATTLE.
56,2016-10-12,NULL,craciun05,I need some of that geico balboa stuff..
57,2017-11-16,19,rps_1899,I hate Paris Hilton..
58,2016-09-03,18,hairy-conniption,"I hate those geico commercials but I do like the geico = D it's so preeeetty and has a nice accent, lol..."
59,2017-01-03,16,craciun05,i want to see aaa.... > <.
60,2017-03-05,16,artykom,"personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable...."
61,2016-04-20,5,timequake,Three days at Purdue with three awesome people.
62,2015-04-17,6,craciun05,Seattle sucks in bumper to bumper if you're on a hill with a stick shift.
63,2016-08-27,14,bischopscup,I need some of that geico balboa stuff..
64,2017-12-13,10,sudebala,for as long as I can remember I've wanted Honda....
65,2018-11-24,15,fsv,You are a lucking cutey and I think I may hate you even more than I hate Paris Hilton...
66,2015-07-31,8,amateur07,I needed San Francisco but not until a month ago.
67,2016-09-18,20,sheik_yerbouti,"Set in London's delightful canal district Little Venice, The Colonnade Hotel is....."
68,2017-03-21,2,harmon758,i want to see aaa.... > <.
69,2018-07-20,19,craciun05,"Stupid UCLA, deserves a good poking.."
70,2018-10-03,3,maharnav,"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (.."
71,2016-04-30,NULL,youralterego,I hate Paris Hilton.
72,2018-11-19,NULL,youralterego,I love UCLA but miss everyone from back home.
73,2015-06-05,19,citrus2014,I'm loving Shanghai > > > ^ _ ^.
74,2017-07-09,12,odalv,I like and hate MIT....
75,2015-11-02,NULL,stethoscopes,the beautiful Harvard grad —..
76,2015-05-23,20,mmarvin,ps i LOVE toyota and yeh you need a HIS AND HERS....
77,2019-05-05,NULL,nitsua49,I hate Seattle..
78,2017-10-20,10,odalv,"I can only imagine, with the bloated egos and arrogant liberalism at Harvard, this effect was magnified..."
79,2015-05-03,11,fsv,i want to see aaa.... > <.
80,2017-10-08,NULL,cracking12345,stupid kids and their need for Honda emblems):
81,2019-08-05,NULL,sudebala,I would love to go Shanghai with sister..
82,2016-06-09,NULL,sudebala,stupid lakers should have beat suns.....
83,2015-03-16,8,alex945,They then decide to wage war from the top of my crappy Toyota..........
84,2016-03-25,19,bischopscup,"I've been working on an article, and Antid Oto has been, er, so upset about the shitty Harvard plagiarizer that he hasn't been able to even look at keyboards."
85,2017-11-17,19,sosobanane,I love Shanghai!.....
86,2019-11-09,17,jerusseust,"I love the London Little People, btw."
87,2016-11-17,9,f1984b,I'd like to talk today about how much I hate Paris Hilton.....
88,2016-04-22,8,bischopscup,I liked Tom Cruise until he dumped Nicole Kidman.
89,2018-6-31,10,mmarvin,"Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!"
90,2017-04-10,9,maharnav,ucla = suck..
91,2019-01-11,18,cracking12345,I miss London...
92,2016-9-31,12,cracking12345,oh gosh and i need to call geico about kendall getting his insurance on my account...
93,2017-07-17,NULL,hairy-conniption,Toyota is doing some amazing things with fuel economy.
94,2018-09-25,NULL,timequake,I love paris hilton...
95,2015-08-14,20,rps_1899,Exciting Commerce Workshop mit Werkstattberichten..
96,2019-06-07,NULL,bischopscup,San Francisco's Disastrous Policy Exposed!..
97,2019-01-14,11,jerusseust,Awesome diner here @ Purdue...
98,2016-03-15,NULL,timequake,I love my MacBook Pro.
99,2015-06-28,NULL,artykom,and i like Paris Hilton.
100,2016-11-10,5,cracking12345,for as long as I can remember I've wanted Honda....
101,2015-04-21,17,rps_1899,"San Francisco is great for that, too."
102,2016-08-08,7,nitsua49,I like honda civics!!!!!!.
103,2017-02-26,5,hassan1365416,Stupid UCLA.
104,2016-03-26,2,sosobanane,i hate seattle?.
105,2016-09-02,9,amateur07,I miss London...
106,2018-09-28,3,bischopscup,The Tomb Raider films made me hate Angelina Jolie.
107,2015-11-12,1,f1984b,I LOVE SEATTLE.
108,2019-02-08,19,stethoscopes,i try to enjoy my time here in san francisco.......
109,2015-10-27,7,maharnav,My Purdue Cal friends are awesome!..
110,2016-02-23,13,sheik_yerbouti,then again i hate tom cruise..
111,2016-03-09,NULL,cracking12345,BOSTON SUCKS!!!
112,2018-07-25,6,sheik_yerbouti,Angelina Jolie is beautiful.
113,2015-09-14,2,rexlex,I love the MacGyver Mastercard Commercial.
114,2018-01-23,12,jerusseust,"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs..."
115,2018-01-29,1,citrus2014,i hate tom cruise too.
116,2016-10-06,4,citrus2014,Bottomline American Airlines sucks and Jet Blue rocks.
117,2016-04-16,20,tahastanly,then again i hate tom cruise..
118,2015-11-19,9,f1984b,"With that said god i cant wait to go there, seattle is awesome."
119,2017-10-02,2,sheik_yerbouti,"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger.."
120,2019-01-19,15,amateur07,"I hate the San Antonio Spurs, and the Sacramento Kings."
121,2016-07-03,4,f1984b,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
122,2017-05-26,8,hairy-conniption,I'm still not sure if I like London.
123,2015-02-11,NULL,nitsua49,"Come on, i hate honda's more than anything and i ride in her car."
124,2018-03-13,6,mohamadi46,I choose it because I like a car original character is female only and I like Toyota since I play NeedForSpeed-Underground2.
125,2016-01-08,11,alex945,"Paris Hilton – Sexy, relevant to a different kind of Bar..."
126,2016-12-17,2,youralterego,"Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside."
127,2019-07-27,2,nitsua49,I like Purdue University's computer lab!..
128,2018-11-01,NULL,rps_1899,i love seattle..
129,2015-10-21,NULL,maharnav,i bet i am the first person ever to comment on your site from london-stinking-england!
130,2018-12-05,5,sosobanane,"And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets."
131,2015-01-11,3,bischopscup,Reasons why I hate American Airlines:.
132,2015-04-21,17,cracking12345,"I've been working on an article, and Antid Oto has been, er, so upset about the shitty Harvard plagiarizer that he hasn't been able to even look at keyboards."
133,2018-09-05,13,timequake,"Paris Hilton – Sexy, relevant to a different kind of Bar..."
134,2018-2-30,NULL,craciun05,BOSTON SUCKS!!!!!..
135,2015-02-12,5,alex945,Seattle sucks......
136,2015-06-12,19,fsv,The Honda is awesome.
137,2017-12-05,NULL,bischopscup,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited."
138,2019-09-05,15,jerusseust,There is a Taste of China right by GEICO that has great food.
139,2015-07-25,1,stethoscopes,I love Harvard guys...
140,2016-01-27,16,cracking12345,I so want a MacBook.
141,2017-02-09,2,sheik_yerbouti,i love purdue...
142,2019-10-24,18,sosobanane,"lost a friend recently, Chris Handy, it isnt going to be the same without seeing him tooling around clinton in crappy Honda, with a header..("
143,2019-11-05,NULL,piley159,"The HP Pavilion a300y has been great, but nothing last forever."
144,2015-6-31,NULL,aminox,i need MacBook Pro badly!.
145,2017-11-14,NULL,jerusseust,And i've managed to cover all of my own food expenses as of thus far by working as Harvard's random task cutey -- doubly freaking sweet(
146,2016-03-08,NULL,harmon758,"You know, while I truly love Perth and San Francisco and I am duly impressed by NYC, I have to say, the greatest city I ever set foot in was Hong Kong."
147,2019-04-02,8,mohamadi46,paris hilton sucks.
148,2015-09-17,18,fsv,"as cuticlesle, tho i hate london, i did love alittle bit about london.."
149,2016-01-20,14,maharnav,"As much as I love the Lakers and Kobe, I still have to state the facts..."
150,2019-05-10,7,f1984b,Now I'm walking around looking like the ugliest person in the world angelina jolie!!!!!!!
151,2015-08-18,18,artykom,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way."
152,2016-06-17,NULL,artykom,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park."
153,2019-10-07,15,odalv,"Well, my job at GEICO has been great so far."
154,2017-10-31,11,cracking12345,Apparently there's a kebab place someplace in london that is only good when you're drunk.
155,2018-02-25,14,piley159,Shanghai was awesome.
156,2018-10-27,5,fsv,I love San Francisco..
157,2016-01-20,4,sudebala,I hate AAA =....
158,2019-03-01,3,stethoscopes,"Stupid UCLA, deserves a good poking.."
159,2015-05-08,1,piley159,I'm beginning to really distrust Toyota dealerships.
160,2019-01-03,16,timequake,"actually Seattle sucks, it's the people that live here, visit here and co-exist here that are the'shit '."
161,2016-07-16,11,piley159,i love angelina jolie.
162,2015-04-06,17,amateur07,"Lakers Vs. Spurs Post Game So, the game was awesome."
163,2019-01-02,2,fsv,MAJOR LAKERS AND KOBE FAN SO THAT WAS AWESOME FOR ME.....
164,2015-12-26,NULL,hassan1365416,BOSTON SUCKS!!!
165,2018-09-17,NULL,odalv,i try to enjoy my time here in san francisco.......
166,2016-07-31,11,harmon758,harvard square was coool.
167,2015-05-15,6,aminox,"Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!"
168,2016-12-03,13,rps_1899,I love the San Antonio Spurs!!.
169,2015-08-21,NULL,maharnav,i love in seattle..
170,2015-12-17,NULL,tahastanly,"I'd recommend Southwest Airlines for cheap, domestic flights."
171,2018-06-25,7,timequake,If I have to see Paris Hilton's ugly rat-face one more time I just may puke.
172,2019-09-22,NULL,sheik_yerbouti,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.
173,2017-08-23,19,viperfish12,I love american express travelers cards.
174,2019-10-19,NULL,jerusseust,"Indiana Pacers, you suck for too many reasons for me to list here."
175,2016-11-05,5,sheik_yerbouti,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited."
176,2019-06-01,NULL,sudebala,even though its a boring capital one card)
177,2015-04-21,19,craciun05,haha i love you ashley ur ahhh-mmmm-aaa-zzzz-ing!!!
178,2015-02-18,8,harmon758,"The problem is, MIT kids are selfish("
179,2017-05-28,18,piley159,Even the crappy 2 hour US Airways Customer Service phone call did not make me lose my composure..
180,2019-08-05,NULL,mmarvin,"I should remind that self that my boring green'96 Toyota Camry has 230k on the odometer, hasn't been to get a tune-up in over a year -- poor thing;"
181,2017-08-12,NULL,aminox,but ive been around the u. s.. seattle is unique and awesome and i loved it!.
182,2015-01-20,17,harmon758,I hate Paris Hilton.
183,2016-01-25,14,citrus2014,I know you're way too smart and way too cool to let stupid UCLA get to you...
184,2017-07-29,NULL,nitsua49,Hillary Clinton sucks..
185,2016-03-31,NULL,fsv,Coming home to my beloved Macbook revives my soul = ) I'm such a geek.
186,2018-05-18,18,harmon758,i miss allstate..
187,2019-05-05,17,craciun05,I like Tom Cruise and will boycott Paramount Pictures..
188,2015-01-22,2,bischopscup,"i hate the Lakers too but this isn't a basketball blog, so i won't go into it)."
189,2018-12-19,6,craciun05,angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..
190,2015-09-13,11,stethoscopes,I need some of that geico balboa stuff..
191,2016-09-22,16,stethoscopes,"She also said she didnt miss her Thanksgiving because Geico was so great and he goes "" MASHED POTATOES AND CRANBERRY SAUCE!!!!"
192,2017-08-17,19,tahastanly,Then Saturday I went to the Harvard football game which was cool and they won putting them at 4-0.
193,2016-11-20,14,timequake,United Airlines is offering great airfares across the US in the current spring sale.
194,2016-03-29,7,stethoscopes,"AAA's "" Q "" is catchy and an ear worm, like many of the things they've done."
195,2018-02-13,3,youralterego,"As much as I love the Lakers and Kobe, I still have to state the facts..."
196,2018-01-22,17,sudebala,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!..."
197,2017-04-27,NULL,sosobanane,A soccer ball piÃ ± ata is another great entertainment and prize piece all in one...
198,2015-01-07,15,alex945,LOVE MASSY I < 3 The SAN ANTONIO SPURS!!!
199,2016-08-11,NULL,maharnav,"v. s. what should be a AAA team right now 10 % of this weekend has been so awesome,.. that I dont even mind working the other 102 % of it....."
200,2015-06-23,NULL,piley159,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited."
201,2016-04-08,3,rexlex,"I should remind that self that my boring green'96 Toyota Camry has 230k on the odometer, hasn't been to get a tune-up in over a year -- poor thing;"
202,2017-04-12,7,sudebala,angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..
203,2015-12-26,13,f1984b,And Tom Cruise is beautiful....
204,2015-10-09,18,mmarvin,for as long as I can remember I've wanted Honda....
205,2019-11-23,14,tahastanly,I have loved Tom Cruise since Risky Business...
206,2015-02-09,18,hassan1365416,seattle sucks!!!...
207,2019-07-21,11,hassan1365416,I LOVE my dress and the Shanghai look.
208,2017-12-06,4,sosobanane,"I'm still slightly lusting after the ultralightweight Sony Vaio, but that's too pricey for what I need, and the other ultralightweights are too heavy at at > 3 lbs.."
209,2017-09-06,15,timequake,Seattle sucks!!
210,2015-04-27,3,jerusseust,I WANT MIT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!..
211,2018-05-18,5,hairy-conniption,I'd love a Toyota van..
212,2016-08-23,13,hassan1365416,"I should remind that self that my boring green'96 Toyota Camry has 230k on the odometer, hasn't been to get a tune-up in over a year -- poor thing;"
213,2015-12-11,NULL,timequake,"I like being at Purdue, not with my family."
214,2016-08-02,9,craciun05,I'm still not sure if I like London.
215,2019-05-03,3,rexlex,"my brother tells me columbia won't be viewed as an accredited college by the jobs i want, and that it costs too much, and that i'll hate UIUC."
216,2019-12-01,9,fsv,I worship Nicole Richie or Paris Hilton..
217,2015-01-19,16,youralterego,I think at this moment i love San Francisco better than L. A..
218,2017-12-27,8,stethoscopes,Love Story At Harvard [ awesome drama!
219,2015-01-29,3,mohamadi46,I'd love a Toyota van..
220,2015-11-29,NULL,timequake,"sat night i watched the lakers get killed my the suns-yeah and that sucked cause i love the lakers, but who cares, kobe scored 81 in one game."
221,2017-02-19,1,odalv,I want my thinkpad back!.
222,2017-12-04,17,piley159,"I definitely slept in my coat, but I slept really comfortably, because I had my awesome purdue blanket my mommy made me, and my own pillow....."
223,2018-01-01,10,cracking12345,I miss London. ( I miss my brain ).
224,2016-01-25,6,citrus2014,"I mean, we knew Harvard was dumb anyway -- right, B-girls? -- but this is further proof)..."
225,2015-11-29,NULL,odalv,"As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland."
226,2017-11-07,NULL,harmon758,I'd love a Toyota van..
227,2017-08-07,16,sheik_yerbouti,I worship Nicole Richie or Paris Hilton..
228,2018-04-02,11,sheik_yerbouti,I love Paris Hilton..
229,2019-02-20,17,maharnav,well i'm gonna go enjoy being in seattle.....
230,2017-03-08,13,artykom,stupid lakers should have beat suns.....
231,2015-06-01,NULL,f1984b,I would love a Honda or Toyota because I know they are fairly reliable.
232,2019-06-09,17,maharnav,"i got like 9 AAA's during the course of the tournament, ive never been that consistent in a tournament before."
233,2019-01-07,NULL,hassan1365416,I miss Purdue right now..
234,2018-03-16,18,sosobanane,I hated Boston.
235,2018-07-25,10,artykom,i love in seattle..
236,2018-10-13,1,viperfish12,I love UCLA but miss everyone from back home.
237,2016-09-02,12,nitsua49,Tom Cruise sucks.
238,2019-12-05,NULL,citrus2014,"As much as I love my Lakers, I remain a realist and am fully aware that they're woefully over-matched in this showdown."
239,2018-01-04,6,sudebala,i love seattle so much.
240,2016-11-05,10,tahastanly,"And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets."
241,2018-05-25,2,aminox,stupid lakers....
242,2015-12-31,NULL,mmarvin,"This was an awesome trip and I would like to thank Chase Mastercard, Citibank Visa card, Wells Fargo Visa Card and my savings account for making this trip happen."
243,2017-08-28,NULL,artykom,I LOVE MY TOYOTA COROLLA S! Except...
244,2015-12-09,7,fsv,I love Paris Hilton..
245,2018-08-25,1,harmon758,Maybe Hillary Clinton is boring and i should stop reading her'History ':
246,2015-04-27,NULL,sudebala,"My apologies for writing about Accessorize twice in one day, but when I saw this'I Love London'black-cab shaped purse I just had to have it couldn't resist."
247,2018-05-19,NULL,fsv,San Francisco's Disastrous Policy Exposed!..
248,2016-09-08,12,tahastanly,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.
249,2019-08-24,7,hassan1365416,"I can only imagine, with the bloated egos and arrogant liberalism at Harvard, this effect was magnified..."
250,2019-05-29,18,alex945,"I've been spending a lot more time there as a result, and I grow to like Harvard Square more every time I go, although I'm thankful I never have to walk there."
251,2018-10-23,4,tahastanly,I loved Boston and MIT so much and still do.
252,2018-10-26,17,harmon758,lakers suck.
253,2015-03-31,16,youralterego,"I like being at Purdue, not with my family."
254,2015-06-07,NULL,artykom,I hate Paris Hilton.
255,2019-11-07,14,harmon758,I hate Tom Cruise.
256,2016-08-24,12,hassan1365416,i want to see aaa.... > <.
257,2017-06-24,4,harmon758,"i love purdue, its so freaking fun and just plain awesome."
258,2019-11-14,2,rexlex,"Yet, I'll miss that Honda of his-it was the car of my college career."
259,2017-10-20,12,artykom,the food at UCLA med center was actually pretty decent.
260,2019-11-27,20,bischopscup,i love seattle..
261,2016-07-02,8,mmarvin,I love the lakers even tho Trav makes fun of me.
262,2018-05-12,12,artykom,donda estas los biblio
263,2016-05-04,10,amateur07,"By the way, I hate LONDON..."
264,2015-03-09,17,rps_1899,i miss AAA...
265,2017-10-25,7,sosobanane,"Though I want a Vios / Honda Jazz badly, I think I'll be fine in a 2nd hand Myvi or Waja or Gen 2 or anything decent."
266,2019-02-02,NULL,odalv,& i adore my little honda < 3.
267,2016-05-21,7,sheik_yerbouti,"Anyways, after being warned for weeks of how luckED UP ( for lack of a better word ) working in China can be, I actually feel that eBay Shanghai has been pretty good so far."
268,2017-11-02,10,piley159,I really hate Tom Cruise.
269,2019-12-28,NULL,jerusseust,seattle kinda sucks.
270,2017-11-30,NULL,hassan1365416,"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it."
271,2018-12-06,19,timequake,I hate the exodus of subarus and honda crv's and volvos.
272,2015-12-19,1,rexlex,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
273,2017-04-07,NULL,hassan1365416,Seattle sucks.
274,2017-09-10,10,timequake,I miss San Francisco already!.
275,2018-06-05,3,mohamadi46,Stupid UCLA.
276,2019-05-28,4,nitsua49,"also, san francisco is awesome and you would have a lot of fun there..."
277,2017-10-06,NULL,mmarvin,"I remembered something funny, I was going up academy next to some crappy toyota that was billowing black smoke from somewhere around the oil pan, "" thats what's causing global warming ""."
278,2017-01-27,NULL,mmarvin,gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.
279,2016-02-07,NULL,stethoscopes,"Geico would be great, and I really hope that works out."
280,2019-09-08,NULL,sosobanane,"I definitely slept in my coat, but I slept really comfortably, because I had my awesome purdue blanket my mommy made me, and my own pillow....."
281,2017-06-14,NULL,piley159,I LOVE MY TOYOTA!!!!..
282,2018-07-24,6,sudebala,"UCLA is beautiful because it's so hilly, but I don't think I'll be going back to my dorm for anything trivial hahah..."
283,2015-03-08,3,hairy-conniption,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department."
284,2019-05-22,14,timequake,boston college is good too < 33.
285,2015-05-07,4,hairy-conniption,i love our trips out to london pissed out of our faces on shitty booze...
286,2017-10-01,5,craciun05,"By the way, I hate LONDON..."
287,2018-11-02,15,mmarvin,", aaa es verdad estan todos en el Pilsen Rock, un pequeño detalle..."
288,2018-07-03,15,stethoscopes,djaslfk alksjlksf alkfjlksaj lol
289,2016-02-20,NULL,tahastanly,"When I saw the letter that said 19,000 people applied, I no longer feel so crappy about the Harvard thing."
290,2016-08-23,NULL,hairy-conniption,"Well, my job at GEICO has been great so far."
291,2018-08-04,3,hassan1365416,", Boston is great..."
292,2018-11-09,6,hassan1365416,AAA rocks.
293,2015-6-31,13,sosobanane,i love our trips out to london pissed out of our faces on shitty booze...
294,2016-05-23,15,amateur07,boston college is good too < 33.
295,2019-07-18,7,aminox,"When Emmy was in town, I told her ( in a moment of pure physical pain as we hiked up to the Lombard / Leavenworth intersection ) that San Francisco is always halfway between fantastic and miserable."
296,2018-08-24,8,odalv,And people wonder why I hate Tom Cruise..
297,2016-04-01,15,amateur07,i want a Toyota Carolla.
298,2018-01-18,18,hairy-conniption,"Paris Hilton – Sexy, relevant to a different kind of Bar..."
299,2016-02-05,18,rexlex,I love Boston! )..
300,2016-04-21,6,rexlex,ang exciting lang ata na nangyari ay nakahuli kami ng ibon nung ecology lab...
301,2015-02-04,7,youralterego,Which makes me think I need AAA more than AA...
302,2019-02-08,6,odalv,i HATE seattle.
303,2015-10-26,5,jerusseust,There is a Taste of China right by GEICO that has great food.
304,2018-01-03,9,hairy-conniption,"UCLA is stupid, I realized."
305,2019-03-01,14,rps_1899,"i look across my beautiful boston, and something inside me is taken aback, struck with such force that i lose my breathe for a second..."
306,2015-01-23,15,citrus2014,Cs: I've heard San Francisco is beautiful..
307,2015-06-30,15,rps_1899,"UCLA is beautiful because it's so hilly, but I don't think I'll be going back to my dorm for anything trivial hahah..."
308,2015-12-11,NULL,harmon758,There is a Taste of China right by GEICO that has great food.
309,2018-09-20,NULL,craciun05,"I know, for a honda that really sucks."
310,2016-08-19,NULL,cracking12345,AAA rocks.
311,2016-01-07,NULL,sosobanane,"Tom Cruise: I'm feeling great, Alex."
312,2019-12-02,18,nitsua49,"Stupid UCLA, deserves a good poking.."
313,2019-06-23,20,citrus2014,and i blame angelina jolie!
314,2016-10-28,NULL,aminox,I like your pseudo-Mastercard style summary of the weekend.
315,2018-01-27,16,rexlex,THE HYUNDAI ELANTRA IS AN EXCELLENT CHOICE IN THESE GAS PRICE DRIVEN ECONOMY.
316,2015-08-07,3,citrus2014,man that restaurant nearby is so tasty but weird
317,2019-05-07,19,craciun05,LAKERS SUCK Shit....
318,2017-05-08,8,mmarvin,I know you're way too smart and way too cool to let stupid UCLA get to you...
319,2017-01-24,17,youralterego,"As much as I hate Tom Cruise and as much as I think Katie Holmes is stupid because she's with him, I find their baby absolutely adorable!"
320,2017-12-27,14,piley159,I really hate Tom Cruise.
321,2017-07-19,3,harmon758,i love seattle so much.
322,2017-02-07,20,harmon758,I love MIT so much...
323,2018-01-11,11,sosobanane,", Boston is great..."
324,2019-08-16,2,sosobanane,"Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!"
325,2016-01-01,12,craciun05,I'd like to talk today about how much I hate Paris Hilton.....
326,2015-05-26,11,hassan1365416,The seattle scene is pretty amazing too....
327,2017-11-30,9,viperfish12,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!..."
328,2017-03-12,NULL,tahastanly,"After a rehabilitating few years, Hillary Clinton just reminded us of her ugly side."
329,2018-12-15,4,rexlex,I LOVE Seattle!!
330,2015-12-26,17,youralterego,"yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks..."
331,2019-04-18,11,craciun05,the beautiful Harvard grad —..
332,2015-05-06,4,sudebala,I need some of that geico balboa stuff..
333,2017-09-10,16,rps_1899,gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.
334,2016-01-30,12,stethoscopes,I want Geico.....
335,2016-11-07,17,amateur07,Stupid Lakers.
336,2018-09-03,NULL,harmon758,London's tube map is getting uglier.
337,2015-11-10,3,viperfish12,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.
